Year,Employment,Labor Force,Unemployment,Unemployment Rate,Area,Type
2005.0,61129.583333333336,64868.0,3738.4166666666665,5.766666666666667,"St. Joseph, MO-KS",MSA
2006.0,63503.0,66572.83333333333,3069.8333333333335,4.625,"St. Joseph, MO-KS",MSA
2007.0,65720.16666666667,68772.41666666667,3052.25,4.45,"St. Joseph, MO-KS",MSA
2008.0,65404.25,69056.41666666667,3652.1666666666665,5.291666666666667,"St. Joseph, MO-KS",MSA
2009.0,63949.75,69793.75,5844.0,8.366666666666667,"St. Joseph, MO-KS",MSA
2010.0,59981.0,65857.5,5876.5,8.924999999999999,"St. Joseph, MO-KS",MSA
2011.0,60194.166666666664,65444.583333333336,5250.416666666667,8.016666666666667,"St. Joseph, MO-KS",MSA
2012.0,61526.333333333336,65669.08333333333,4142.75,6.308333333333334,"St. Joseph, MO-KS",MSA
2013.0,61731.25,65719.91666666667,3988.6666666666665,6.074999999999999,"St. Joseph, MO-KS",MSA
2014.0,61533.833333333336,65135.416666666664,3601.5833333333335,5.541666666666667,"St. Joseph, MO-KS",MSA
2015.0,62407.333333333336,65411.083333333336,3003.75,4.575,"St. Joseph, MO-KS",MSA
2016.0,63332.166666666664,65995.66666666667,2663.5,4.033333333333333,"St. Joseph, MO-KS",MSA
2017.0,61783.75,64044.833333333336,2261.0833333333335,3.525,"St. Joseph, MO-KS",MSA
2018.0,61195.333333333336,63079.916666666664,1884.5833333333333,2.975,"St. Joseph, MO-KS",MSA
2019.0,61126.666666666664,63031.75,1905.0833333333333,3.0083333333333333,"St. Joseph, MO-KS",MSA
2020.0,59570.666666666664,62516.0,2945.3333333333335,4.7250000000000005,"St. Joseph, MO-KS",MSA
2021.0,60522.666666666664,62504.5,1981.8333333333333,3.1666666666666665,"St. Joseph, MO-KS",MSA
1990.0,1250387.75,1330324.5833333333,79936.83333333333,6.008333333333333,"St. Louis, MO-IL",MSA
1991.0,1239021.25,1329280.3333333333,90259.08333333333,6.783333333333334,"St. Louis, MO-IL",MSA
1992.0,1237525.8333333333,1322005.8333333333,84480.0,6.408333333333334,"St. Louis, MO-IL",MSA
1993.0,1247226.6666666667,1326099.0833333333,78872.41666666667,5.95,"St. Louis, MO-IL",MSA
1994.0,1271314.6666666667,1337393.1666666667,66078.5,4.958333333333333,"St. Louis, MO-IL",MSA
1995.0,1306940.5833333333,1371018.5,64077.916666666664,4.683333333333334,"St. Louis, MO-IL",MSA
1996.0,1328639.5,1391588.9166666667,62949.416666666664,4.5249999999999995,"St. Louis, MO-IL",MSA
1997.0,1329039.8333333333,1385887.25,56847.416666666664,4.1000000000000005,"St. Louis, MO-IL",MSA
1998.0,1337627.4166666667,1394086.0833333333,56458.666666666664,4.033333333333333,"St. Louis, MO-IL",MSA
1999.0,1345218.0833333333,1393451.75,48233.666666666664,3.466666666666667,"St. Louis, MO-IL",MSA
2000.0,1363357.9166666667,1414027.4166666667,50669.5,3.5833333333333335,"St. Louis, MO-IL",MSA
2001.0,1351806.3333333333,1415879.75,64073.416666666664,4.55,"St. Louis, MO-IL",MSA
2002.0,1345865.3333333333,1421853.5833333333,75988.25,5.341666666666666,"St. Louis, MO-IL",MSA
2003.0,1334246.25,1417338.0,83091.75,5.866666666666667,"St. Louis, MO-IL",MSA
2004.0,1333111.5,1418826.75,85715.25,6.05,"St. Louis, MO-IL",MSA
2005.0,1349776.5,1428914.9166666667,79138.41666666667,5.533333333333334,"St. Louis, MO-IL",MSA
2006.0,1367251.5,1439748.0,72496.5,5.0249999999999995,"St. Louis, MO-IL",MSA
2007.0,1370961.8333333333,1447372.4166666667,76410.58333333333,5.291666666666667,"St. Louis, MO-IL",MSA
2008.0,1349823.3333333333,1445343.4166666667,95520.08333333333,6.6000000000000005,"St. Louis, MO-IL",MSA
2009.0,1295186.5,1433812.8333333333,138626.33333333334,9.674999999999999,"St. Louis, MO-IL",MSA
2010.0,1332209.1666666667,1472438.6666666667,140229.5,9.516666666666667,"St. Louis, MO-IL",MSA
2011.0,1342847.0833333333,1469052.75,126205.66666666667,8.583333333333334,"St. Louis, MO-IL",MSA
2012.0,1337903.5,1446605.25,108701.75,7.5249999999999995,"St. Louis, MO-IL",MSA
2013.0,1338468.8333333333,1441588.0,103119.16666666667,7.1499999999999995,"St. Louis, MO-IL",MSA
2014.0,1359289.5,1450412.5,91123.0,6.291666666666667,"St. Louis, MO-IL",MSA
2015.0,1385957.4166666667,1460834.5833333333,74877.16666666667,5.133333333333334,"St. Louis, MO-IL",MSA
2016.0,1403237.3333333333,1471081.8333333333,67844.5,4.616666666666666,"St. Louis, MO-IL",MSA
2017.0,1404454.4166666667,1459704.75,55250.333333333336,3.783333333333333,"St. Louis, MO-IL",MSA
2018.0,1412535.4166666667,1462587.0,50051.583333333336,3.4166666666666665,"St. Louis, MO-IL",MSA
